Country,Year,Rank,Score
PAK,2020,107,22.31
PAK,2021,99,24.4
PAK,2022,87,23
PAK,2023,88,23.3
PAK,2024,91,22
PAN,2011,77,30.77
PAN,2012,87,30.9
PAN,2013,86,31.82
PAN,2014,52,38.3
PAN,2015,62,36.8
PAN,2016,68,33.49
PAN,2017,63,34.98
PAN,2018,70,32.37
PAN,2019,75,31.51
PAN,2020,73,29.04
PAN,2021,83,28
PAN,2022,81,25.7
PAN,2023,84,25.3
PAN,2024,82,24.7
PER,2011,83,30.34
PER,2012,75,34.1
PER,2013,69,35.96
PER,2014,73,34.73
PER,2015,71,34.87
PER,2016,71,32.51
PER,2017,70,32.9
PER,2018,71,31.8
PER,2019,69,32.93
PER,2020,76,28.79
PER,2021,70,31.2
PER,2022,65,29.1
PER,2023,76,27.7
PER,2024,75,26.7
PHL,2011,91,28.98
PHL,2012,95,29
PHL,2013,90,31.18
PHL,2014,100,29.87
PHL,2015,83,31.05
PHL,2016,74,31.83
PHL,2017,73,32.48
PHL,2018,73,31.56
PHL,2019,54,36.18
PHL,2020,50,35.19
PHL,2021,51,35.3
PHL,2022,59,30.7
PHL,2023,56,32.2
PHL,2024,53,31.1
POL,2011,43,38.02
POL,2012,44,40.4
POL,2013,49,40.12
POL,2014,45,40.64
POL,2015,46,40.16
POL,2016,39,40.22
POL,2017,38,41.99
POL,2018,39,41.67
POL,2019,39,41.31
POL,2020,38,39.95
POL,2021,40,39.9
POL,2022,38,37.5
POL,2023,41,37.7
POL,2024,40,37
PRT,2011,33,42.4
PRT,2012,35,45.3
PRT,2013,34,45.1
PRT,2014,32,45.63
PRT,2015,30,46.61
PRT,2016,30,46.45
PRT,2017,31,46.05
PRT,2018,32,45.71
PRT,2019,32,44.65
PRT,2020,31,43.51
PRT,2021,31,44.2
PRT,2022,32,42.1
PRT,2023,30,44.9
PRT,2024,31,43.7
PRY,2011,74,31.17
PRY,2012,84,31.6
PRY,2013,100,30.28
PRY,2014,89,31.59
PRY,2015,88,30.69
PRY,2016,94,28.2
PRY,2017,85,30.3
PRY,2018,89,28.66
PRY,2019,95,27.09
